contig,synthCount,contigOrthoCount,contigLength,geneDensity,contigOrthoCount>2,geneDensity>=0.000003,maxValue>=40%contigOrthoCount,X,2L,2R,3L,3R,4,Y,allocation
tig00009885,23,22,893681,2.46173E-05,YES,YES,NO,0,7.13627451,0,0.076923077,0,0,0,2L
tig00009559,48,40,3720896,1.07501E-05,YES,YES,YES,0.166666667,17.17222222,0,0.285714286,0,0,0,2L
tig00003387,84,50,6185005,8.08407E-06,YES,YES,NO,0.347701149,19.1002308,0.002463054,0.272773778,0.250761308,0,0.007389163,2L
tig00009710,38,12,1846840,6.49759E-06,YES,YES,YES,0,4.837191358,0.00308642,0,0.178240741,0,0,2L
tig00003987,72,18,1182735,1.5219E-05,YES,YES,YES,0,7.670268107,0.011404562,0.007803121,0.339935974,0,0,2L
tig00008420,1858,806,52891909,1.52386E-05,YES,YES,YES,8.159902107,8.753448187,11.59584221,7.653414707,391.264937,2.644871795,0.015625,3R
tig00004074,53,20,2514257,7.95464E-06,YES,YES,NO,0.135796388,6.704751283,0.034456061,0.257389163,0.125761308,0,0.007389163,2L
tig00009293,24,18,3646871,4.93574E-06,YES,YES,NO,0,3.992857143,0.052631579,0.30952381,0,0.333333333,0,2L
tig00009563,123,97,5513327,1.75937E-05,YES,YES,NO,0.5,37.95793651,0.064285714,0.819444444,0.364285714,0,0,2L
tig00003665,39,28,4266841,6.56223E-06,YES,YES,NO,0.566666667,8.794871795,0.066666667,0.015384615,0,0,0,2L
tig00004422,25,16,990299,1.61567E-05,YES,YES,NO,0.398809524,5.81547619,0.071428571,0.023809524,0.653846154,0,0,2L
tig00004066,90,17,1068795,1.59058E-05,YES,YES,NO,0.001846154,4.817460317,0.083247863,0.007384615,0.009230769,0,0,2L
tig00004225,9,6,104787,5.7259E-05,YES,YES,NO,0,2.314285714,0.1,0.095238095,0,0,0,2L
tig00004355,30,23,1064693,2.16025E-05,YES,YES,YES,0,9.683333333,0.1,0,0.166666667,0,0,2L
tig00003344,258,79,5919522,1.33457E-05,YES,YES,NO,1.153639847,28.70821376,0.121906004,3.819856721,0.788738944,0,0,2L
tig00002044,24,15,2436877,6.15542E-06,YES,YES,NO,0,3.033333333,0.125,0,0.5,0,0,2L
tig00009043,27,18,4512086,3.98929E-06,YES,YES,NO,0,4.033333333,0.125,0.75,0.5,0,0,2L
tig00005491,4,4,81236,4.92393E-05,YES,YES,YES,2.166666667,0,0,0,0,0,0,X
tig00005644,6,6,82320,7.28863E-05,YES,YES,YES,2.75,0,0,0,0,0,0,X
tig00009948,19,8,545624,1.46621E-05,YES,YES,NO,0,2.506410256,0.125641026,0.33974359,0.1,0,0,2L
tig00009258,43,31,1559090,1.98834E-05,YES,YES,YES,0.28125,14.49583333,0.13125,0,0.166666667,0,0,2L
tig00004011,46,39,2782059,1.40184E-05,YES,YES,NO,0.095238095,9.445798319,0.142857143,0.207875458,0,0.333333333,0,2L
tig00009416,17,12,704916,1.70233E-05,YES,YES,NO,2.845238095,0.05952381,0.142857143,0,0.5,0,0,X
tig00008494,18,15,28391074,5.28335E-07,YES,NO,NO,0.186813187,0.406293706,0.484126984,0.047619048,0,2,0,NALL
tig00009706,19,15,642380,2.33507E-05,YES,YES,NO,0,4.693073593,0.145454545,0.095238095,0,0,0,2L
tig00009367,46,40,2589012,1.54499E-05,YES,YES,NO,0.807692308,11.13354978,0.145454545,0.095238095,0.5,0,0,2L
tig00008895,1131,332,19961058,1.66324E-05,YES,YES,NO,4.747791463,4.984199964,4.34651819,3.791695425,108.5739173,1.1,0.02955665,3R
tig00009900,8,6,242620,2.473E-05,YES,YES,YES,0,2.75,0.166666667,0,0,0,0,2L
tig00009600,19,16,657612,2.43305E-05,YES,YES,NO,0.583333333,4.472222222,0.166666667,0,0.055555556,0,0,2L
tig00004237,26,15,1735490,8.64309E-06,YES,YES,NO,0,5.978205128,0.166666667,0.265384615,0,0,0,2L
tig00004815,10,8,329227,2.42993E-05,YES,YES,NO,0.047619048,0,0,2.047619048,0.047619048,0,0,3L
tig00001616,781,337,11331535,2.974E-05,YES,YES,YES,1.836391626,4.663531392,2.042534164,2.488597954,172.5843973,0,0.049055829,3R
tig00009613,29,23,3581027,6.42274E-06,YES,YES,NO,0,8.416666667,0.166666667,0.5,0.2,0,0,2L
tig00009122,82,57,4450025,1.28089E-05,YES,YES,NO,0.16468254,14.10674603,0.208333333,0.622222222,0.655555556,0.333333333,0,2L
tig00009790,35,21,1291687,1.62578E-05,YES,YES,NO,0.066666667,7.294444444,0.226190476,0.333333333,0,0,0,2L
tig00002339,8,8,316274,2.52945E-05,YES,YES,NO,0,0,2.333333333,0,0,0,0,2R
tig00009705,104,41,1634025,2.50914E-05,YES,YES,NO,1.177884615,7.052489177,0.227272727,0,0.653409091,0,0,2L
tig00003743,215,39,1978988,1.9707E-05,YES,YES,NO,0.004307692,11.89435532,0.252649573,0.017230769,0.021538462,0,0,2L
tig00004253,45,19,1551018,1.225E-05,YES,YES,NO,0.398809524,3.325091575,0.30989011,0.366758242,0.7,0,0,2L
tig00009209,51,29,3822971,7.58572E-06,YES,YES,NO,0.391516817,10.8291625,0.387945388,0.027972028,0.191516817,0,0,2L
tig00008435,186,146,31840474,4.58536E-06,YES,YES,YES,3.314285714,3.873169192,5.13700919,21.45426587,66.21331169,1.166666667,0.041666667,NALL
tig00009206,105,72,8720005,8.25688E-06,YES,YES,NO,0,22.00509259,0.434193122,1.265674603,0.748611111,0.5,0,2L
tig00002736,112,75,8561176,8.76048E-06,YES,YES,NO,1.041666667,22.17175926,0.434193122,1.218055556,0.748611111,0.5,0,2L
tig00002230,82,56,4363222,1.28346E-05,YES,YES,NO,0.03968254,14.8234127,0.458333333,0.688888889,0.622222222,0.333333333,0,2L
tig00008971,37,30,5770049,5.19926E-06,YES,YES,NO,0,5.255952381,0.510964912,0.277777778,0,0,0,2L
tig00008929,13,8,741828,1.07842E-05,YES,YES,NO,0.15,0,0,2.216666667,0,0,0,3L
tig00003649,22,20,4357872,4.5894E-06,YES,YES,NO,0.2,4.324242424,0.528822055,0.083333333,0,0,0,2L
tig00003701,15,13,4180201,3.1099E-06,YES,YES,NO,0.133333333,0.090909091,0.055555556,2.228571429,0.333333333,0,0,3L
tig00004261,26,15,1603027,9.3573E-06,YES,YES,NO,0,3.66984127,0.535714286,0.035714286,0,0,0,2L
tig00004330,29,16,1315821,1.21597E-05,YES,YES,NO,0,3.69047619,0.535714286,0.035714286,0,0,0,2L
tig00003338,26,13,1264210,1.02831E-05,YES,YES,NO,2.869848485,0.218181818,0.04,0.254545455,0.083333333,0,0,NALL
tig00004270,46,27,1555231,1.73608E-05,YES,YES,NO,0.216666667,8.989868465,0.621278721,0.547619048,0.025,0.333333333,0,2L
tig00003809,133,69,3200248,2.15608E-05,YES,YES,NO,2.387301587,18.45520221,0.673659674,0.130053908,0.477270877,0,0.5,2L
tig00009311,146,65,5008021,1.29792E-05,YES,YES,NO,0.684920635,13.66820587,0.680652681,0.120899855,0.459039109,0,0,2L
tig00004716,12,10,468589,2.13407E-05,YES,YES,NO,3,0.533333333,0.333333333,0,0,0,0,NALL
tig00004700,31,11,432840,2.54135E-05,YES,YES,NO,3,0.012820513,0.051282051,0.012820513,0.5,0,0,NALL
tig00003840,38,29,3185266,9.10442E-06,YES,YES,NO,0.125,7.854166667,0.6875,0.708333333,0.6,0,0,2L
tig00004964,6,6,44947,0.000133491,YES,YES,YES,3,0,0,0,0,0,0,X
tig00009560,69,44,1831056,2.40298E-05,YES,YES,NO,0,15.23333333,0.713888889,0.125,0.877777778,0,0,2L
tig00009455,260,88,6888398,1.27751E-05,YES,YES,NO,0.653639847,27.31456297,0.779445686,1.33374561,0.832389738,0,0,2L
tig00004590,13,9,680713,1.32214E-05,YES,YES,NO,3.041666667,0,0.333333333,0.125,0,0,0,X
tig00009658,27,20,3357439,5.95692E-06,YES,YES,YES,0.083333333,8.666666667,1,0.025,0,0,0,2L
tig00001707,40,35,13086504,2.67451E-06,YES,NO,NO,0.2,7.791341991,1.081453634,0.226190476,0,0.333333333,0,2L
tig00006892,4,4,24159,0.00016557,YES,YES,YES,0,0,0,2.25,0,0,0,3L
tig00009123,52,43,1328024,3.23789E-05,YES,YES,NO,0.558333333,11.76458333,1.106818182,0.03125,0.569444444,0,0,2L
tig00003323,268,155,6093484,2.5437E-05,YES,YES,NO,1.550957854,53.62884733,1.264159714,2.217159278,0.99339972,0,0.014778325,2L
tig00002463,380,242,12773487,1.89455E-05,YES,YES,NO,1.994608648,85.6072023,1.286778762,2.953270389,1.695564222,0,0.014778325,2L
tig00009378,64,39,4932342,7.90699E-06,YES,YES,NO,0.155487805,9.484654472,1.2875,0.769308943,0.6,0,0,2L
tig00004108,20,12,389380,3.08182E-05,YES,YES,NO,0.416666667,0.083333333,2.472222222,0.211111111,0.166666667,0,0,NALL
tig00009680,116,52,2621904,1.98329E-05,YES,YES,NO,0.601046055,11.80898534,1.324098003,0.108997886,0.533309685,0,0,2L
tig00004828,6,6,290713,2.06389E-05,YES,YES,YES,0,0,2.5,0,0,0,0,2R
tig00009540,116,79,5762745,1.37087E-05,YES,YES,NO,0.577056277,18.87662338,1.482683983,1.623809524,0.512121212,0,0.166666667,2L
tig00003040,141,70,3551251,1.97114E-05,YES,YES,NO,0.573181416,19.57896522,1.557996314,0.08762509,0.251821263,0,0,2L
tig00004533,14,13,833608,1.55949E-05,YES,YES,NO,3.083333333,1.033333333,0.583333333,0.5,0,0,0,NALL
tig00009749,9,4,1093974,3.65639E-06,YES,YES,YES,3.083333333,0.041666667,0,0,0.083333333,0,0.041666667,X
tig00003500,151,82,4995590,1.64145E-05,YES,YES,NO,1.212950817,22.78449039,1.793794973,0.41733122,0.533309685,0,0,2L
tig00008923,262,145,13570420,1.0685E-05,YES,YES,NO,1.60651475,42.74387322,1.837744691,0.812327471,1.040669568,0,0,2L
tig00003600,7,6,210648,2.84835E-05,YES,YES,NO,0.125,0,0,2.291666667,0,0,0,3L
tig00009599,84,58,4257006,1.36246E-05,YES,YES,NO,0.623809524,15.88373016,1.904761905,0.732142857,0.777777778,0,0,2L
tig00002701,236,160,9842349,1.62563E-05,YES,YES,NO,0.986309524,57.93681564,2.429707792,0.90275974,4.691666667,0.6,0,2L
tig00003168,11,10,568177,1.76001E-05,YES,YES,NO,0,0.1,0,2.296969697,0,0,0,3L
tig00009002,52,43,6571013,6.54389E-06,YES,YES,NO,0,6.710930736,2.677631579,0.861111111,0.045454545,0,0,2L
tig00002455,185,36,4196651,8.57827E-06,YES,YES,NO,0.196428571,8.830248766,2.867547019,0.094837935,0.880919034,0,0,2L
tig00009044,247,90,10838297,8.30389E-06,YES,YES,NO,0.90526793,28.01946839,3.65758356,0.420368147,0.932763802,0,0,2L
tig00009023,112,80,6829425,1.1714E-05,YES,YES,NO,0.377056277,19.17640693,3.816017316,0.385714286,0.466666667,0,0.166666667,2L
tig00008560,7,6,4949204,1.21232E-06,YES,NO,NO,0,0,0.142857143,0.083333333,0,1,0,NALL
tig00009074,257,155,10003635,1.54944E-05,YES,YES,YES,2.16010101,1.985894661,1.135894661,0.838888889,79.20046898,0,0.333333333,3R
tig00009256,302,191,9745917,1.9598E-05,YES,YES,NO,0.57288961,71.12699421,4.990516775,1.846647103,5.948768939,0.5,0,2L
tig00004316,20,14,1535449,9.11785E-06,YES,YES,NO,3.175,0.7,0.6,0.333333333,0.125,0,0,NALL
tig00001850,6,6,38628,0.000155328,YES,YES,NO,0,0,0,2.333333333,0,0,0,3L
tig00009231,2,2,5191594,3.85238E-07,NO,NO,YES,0,0,0,0,0,1,0,NALL
tig00009360,171,125,5113211,2.44465E-05,YES,YES,YES,6.338541667,1.833333333,0.807291667,1.838541667,72.00639881,0.25,0,3R
tig00008861,3,3,302515,9.91686E-06,YES,YES,NO,0,0,0,0.833333333,0,0.5,0,NALL
tig00009827,5,5,1045314,4.78325E-06,YES,YES,NO,0,0.5,0.083333333,0.523809524,0,0.5,0,NALL
tig00005309,6,4,88046,4.54308E-05,YES,YES,NO,0.75,0,0,0.5,0.25,0.5,0,NALL
tig00000058,8,6,91947,6.5255E-05,YES,YES,NO,0.166666667,0,0,0.5,1.283333333,0.5,0,NALL
tig00004472,6,6,32517,0.000184519,YES,YES,NO,1,1,1,0,0.5,0.5,0,NALL
tig00001370,5,3,42505,7.05799E-05,YES,YES,NO,0,0.047619048,0,0.428571429,0,0.333333333,0,NALL
tig00003441,5,3,107144,2.79997E-05,YES,YES,NO,0,0.047619048,0,0.428571429,0,0.333333333,0,NALL
tig00005464,5,3,88026,3.40808E-05,YES,YES,NO,0,0.380952381,0.047619048,0.047619048,0,0.333333333,0,NALL
tig00007790,3,3,27193,0.000110323,YES,YES,NO,0.333333333,0,0.333333333,0,0,0.333333333,0,NALL
tig00000471,4,4,41173,9.7151E-05,YES,YES,NO,0,0,0.157894737,0,0,0.333333333,0,NALL
tig00001912,3,2,37096,5.39142E-05,NO,YES,NO,0,0.125,0.125,0,0,0.333333333,0,NALL
tig00004986,4,4,187782,2.13013E-05,YES,YES,NO,0,0.333333333,0,0,0,0.333333333,0,NALL
tig00000639,1,1,37730,2.65041E-05,NO,YES,NO,0,0,0,0,0,0.333333333,0,NALL
tig00009076,120,70,2770979,2.52618E-05,YES,YES,YES,0.212649686,1.634242461,0.204926108,1.08022548,31.65303777,0,0.014778325,3R
tig00000647,1,1,32454,3.08128E-05,NO,YES,NO,0,0,0,0,0,0.333333333,0,NALL
tig00008897,124,45,2609232,1.72465E-05,YES,YES,NO,0.023809524,1.6,1.459854497,0.522089947,11.6354207,0,0,3R
tig00001673,11,10,1897827,5.26918E-06,YES,YES,NO,3.176470588,0.166666667,0,0,0,0,0,X
tig00004596,12,9,136023,6.61653E-05,YES,YES,NO,3.25,0,0.071428571,0,0.142857143,0,0,X
tig00005002,16,12,209436,5.72967E-05,YES,YES,NO,3.388888889,1.5,0,0.805555556,0.083333333,0.25,0,NALL
tig00009356,290,56,4643853,1.2059E-05,YES,YES,NO,0.046095228,1.515342775,0.213691687,0.027651983,14.52092275,0,0.007389163,3R
tig00001827,1,1,260994,3.83151E-06,NO,YES,NO,0,0,0,0,0,0.333333333,0,NALL
tig00001194,8,8,69551,0.000115024,YES,YES,YES,3.5,0,0,0,0,0,0,X
tig00000205,4,4,43568,9.18105E-05,YES,YES,NO,0,0,0,0,1.333333333,0.25,0,NALL
tig00001906,9,9,162341,5.54389E-05,YES,YES,NO,0,0,0,2.333333333,0,0,0,3L
tig00000206,2,2,33200,6.0241E-05,NO,YES,NO,0,0,0,0,0.333333333,0.25,0,NALL
tig00005179,6,5,165601,3.01931E-05,YES,YES,NO,0,0,1.833333333,0,0,0.166666667,0,NALL
tig00003766,189,31,1098195,2.82281E-05,YES,YES,NO,3.60982906,0.5,0,0.802777778,0.693498168,0.5,0,NALL
tig00005052,8,7,136364,5.13332E-05,YES,YES,NO,0,0,2.525,0.125,0,0,0,2R
tig00003100,29,21,476959,4.40289E-05,YES,YES,NO,3.761706349,0.171428571,0.166666667,1.02281746,0.126984127,0,0,NALL
tig00001142,25,12,518044,2.31641E-05,YES,YES,NO,4.024404762,0.057954545,0.204166667,0.025,0.307954545,0,0,X
tig00004747,12,9,414063,2.17358E-05,YES,YES,NO,0.037037037,0,0.267857143,2.365740741,0,0,0,3L
tig00002349,8,6,50338,0.000119194,YES,YES,NO,1.166666667,0,0,0,0.6,0.1,0,NALL
tig00005279,3,1,124012,8.06374E-06,NO,YES,NO,0,0,0,0.083333333,0.083333333,0.083333333,0,NALL
tig00009424,18,5,396313,1.26163E-05,YES,YES,NO,1.556993007,0.027972028,0.006993007,0.127972028,0.006993007,0.05,0,NALL
tig00008436,123,53,2904133,1.82499E-05,YES,YES,NO,0.570238095,1.29763986,1.297262529,1.356666667,14.88706731,0,0,3R
tig00005223,9,5,136798,3.65502E-05,YES,YES,NO,0.841666667,0,0,0.1,0.125,0.05,0,NALL
tig00004511,48,10,771803,1.29567E-05,YES,YES,NO,0.000615385,1.915384615,0.009230769,0.017846154,0.033846154,0.015384615,0,NALL
tig00004715,13,4,347307,1.15172E-05,YES,YES,NO,0,1.015384615,0,0.015384615,0.030769231,0.015384615,0,NALL
tig00001570,23,17,828646,2.05154E-05,YES,YES,NO,4.116666667,0.388888889,0,0.166666667,0.555555556,0,0,X
tig00004885,11,9,304959,2.95122E-05,YES,YES,NO,0,0,0,2.386904762,0.071428571,0.125,0,3L
tig00005296,12,3,123960,2.42014E-05,YES,YES,NO,0,0.015384615,0,0.015384615,1.030769231,0.015384615,0,NALL
tig00000276,10,1,35787,2.79431E-05,NO,YES,NO,0,0.015384615,0,0.015384615,0.030769231,0.015384615,0,NALL
tig00009029,34,9,962390,9.35172E-06,YES,YES,NO,0.063115385,0,0.009230769,2.398294872,0.003076923,0,0,3L
tig00008478,10,1,43672,2.2898E-05,NO,YES,NO,0,0.015384615,0,0.015384615,0.030769231,0.015384615,0,NALL
tig00004420,11,10,1012692,9.87467E-06,YES,YES,NO,0,0,2.533333333,0,0.333333333,0,0,2R
tig00009498,45,10,648562,1.54187E-05,YES,YES,NO,0,0.261363636,2.53655303,0.066666667,0.764204545,0,0,2R
tig00003712,18,13,846706,1.53536E-05,YES,YES,NO,0,1.1,2.583333333,0,0,0,0,2R
tig00004364,134,30,272005,0.000110292,YES,YES,NO,4.185522715,0.219252874,0.192528736,1.640181992,0.463505747,0.333333333,0,X
tig00008479,10,1,21842,4.57834E-05,NO,YES,NO,0,0.015384615,0,0.015384615,0.030769231,0.015384615,0,NALL
tig00002764,9,8,35893,0.000222885,YES,YES,NO,0,0,2.583333333,0,0.166666667,0,0,2R
tig00004762,9,8,406288,1.96905E-05,YES,YES,NO,0,0,2.583333333,0,0.166666667,0,0,2R
tig00009780,9,9,1780123,5.05583E-06,YES,YES,NO,0.071428571,0,0,2.45,0.333333333,0,0,3L
tig00009724,9,9,454171,1.98163E-05,YES,YES,NO,0,0.333333333,0.5,2.142857143,0,0,0,NALL
tig00004712,17,11,343630,3.20112E-05,YES,YES,NO,2.685714286,0.369047619,0.066666667,2.035714286,0.102380952,0,0,NALL
tig00009117,16,11,648343,1.69663E-05,YES,YES,YES,4.416666667,0,0.333333333,1,0.25,0,0,X
tig00005554,7,6,109098,5.49964E-05,YES,YES,YES,0,0.111111111,0,2.5,0,0,0,3L
tig00003744,12,11,375119,2.9324E-05,YES,YES,YES,4.433333333,0.6,0,0,0,0,0,X
tig00009814,2,2,492102,4.0642E-06,NO,YES,YES,0,0,0,2,0,0,0,NALL
tig00005009,11,9,204830,4.39389E-05,YES,YES,NO,0,0.083333333,0.166666667,2.5,0,0,0,3L
tig00009815,2,2,943663,2.1194E-06,NO,NO,YES,0,0,0,2,0,0,0,NALL
tig00005301,9,8,109928,7.27749E-05,YES,YES,NO,0,0,2.583333333,0,0.166666667,0,0,2R
tig00002261,19,14,319160,4.38651E-05,YES,YES,YES,0.016666667,1,1.033333333,0.016666667,5.783333333,0,0,3R
tig00004744,13,12,395511,3.03405E-05,YES,YES,NO,0,1,0,0.5,3.75,0,0,3R
tig00005227,8,8,120998,6.61168E-05,YES,YES,NO,0,0,0,1.958333333,0,0,0,NALL
tig00001348,9,8,313817,2.54926E-05,YES,YES,NO,0,0,0.142857143,1.916666667,0,0,0,NALL
tig00004905,8,8,245616,3.25712E-05,YES,YES,NO,0,0,2.666666667,0,0,0,0,2R
tig00004009,6,6,110460,5.43183E-05,YES,YES,NO,0,0,0,1.916666667,0,0,0,NALL
tig00005339,6,6,116488,5.15075E-05,YES,YES,NO,0,0,0,1.866666667,0,0,0,NALL
tig00009502,10,6,611380,9.81386E-06,YES,YES,NO,0.05,0.025,0.525,1.833333333,0.525,0,0,NALL
tig00001600,5,5,297030,1.68333E-05,YES,YES,NO,0,0,0,1.833333333,0,0,0,NALL
tig00004083,16,7,487639,1.43549E-05,YES,YES,NO,0,0.044117647,0,1.799019608,0,0,0,NALL
tig00002644,11,7,860306,8.13664E-06,YES,YES,NO,0,0,0.083333333,1.783333333,0.041666667,0,0,NALL
tig00005551,8,7,99584,7.02924E-05,YES,YES,NO,0,0.1,0,1.781818182,0,0,0,NALL
tig00004840,21,15,274317,5.46813E-05,YES,YES,NO,0.25,0.25,0.1,1.766666667,0.666666667,0,0,NALL
tig00003955,7,6,307319,1.95237E-05,YES,YES,NO,0,0,0.166666667,1.75,0,0,0,NALL
tig00004774,13,9,335106,2.68572E-05,YES,YES,NO,0,0.0625,0.033333333,1.7125,0.058823529,0,0,NALL
tig00001411,4,4,111931,3.57363E-05,YES,YES,YES,0,0,0,1.7,0,0,0,NALL
tig00002496,3,3,80343,3.73399E-05,YES,YES,YES,0,0,0,1.7,0,0,0,NALL
tig00002526,4,3,98265,3.05297E-05,YES,YES,YES,0,0,0,1.7,0,0,0,NALL
tig00009627,4,4,395566,1.01121E-05,YES,YES,YES,0,0,0.5,1.642857143,0,0,0,NALL
tig00005282,15,8,125629,6.36796E-05,YES,YES,NO,0,0,0,1.638888889,0.111111111,0,0,NALL
tig00004893,7,6,225577,2.65985E-05,YES,YES,NO,0.125,0,0,1.625,0,0,0,NALL
tig00009697,6,5,248332,2.01343E-05,YES,YES,NO,0,0.333333333,0,1.619047619,0,0,0,NALL
tig00003347,9,6,37113,0.000161668,YES,YES,NO,0,0,0,1.583333333,0.333333333,0,0,NALL
tig00005305,10,6,116474,5.15136E-05,YES,YES,YES,0,0,2.6875,0,0.0625,0,0,2R
tig00008694,105,22,2789167,7.88766E-06,YES,YES,NO,4.467528736,1.069859738,0.536592718,0.100431034,0.668390805,0.05,0,X
tig00004802,12,10,253728,3.94123E-05,YES,YES,NO,0.166666667,0.045454545,2.688311688,0,0,0,0,2R
tig00008961,161,133,4261628,3.12087E-05,YES,YES,YES,2.204166667,0.920454545,2.363888889,0.308333333,81.78551587,0,0,3R
tig00008855,8,6,435992,1.37617E-05,YES,YES,NO,0.037037037,0.2,0.5,1.574074074,0,0,0,NALL
tig00002185,8,7,58654,0.000119344,YES,YES,NO,0,0.03125,0.5,1.564583333,0,0,0.5,NALL
tig00008817,7,5,195792,2.55373E-05,YES,YES,NO,0.047619048,0.5,0,1.547619048,0.047619048,0,0,NALL
tig00005469,15,5,91703,5.45238E-05,YES,YES,NO,0.003952569,0,0,1.503952569,0.535573123,0,0,NALL
tig00005336,3,3,113529,2.6425E-05,YES,YES,YES,0,0,0.142857143,1.5,0,0,0,NALL
tig00005303,4,4,103756,3.8552E-05,YES,YES,NO,0.5,0,0,1.5,0,0,0,NALL
tig00001405,2,2,72342,2.76465E-05,NO,YES,YES,0,0,0,1.5,0,0,0,NALL
tig00004096,3,3,367104,8.17207E-06,YES,YES,YES,0,0,0,1.5,0,0,0,NALL
tig00005014,4,4,147685,2.70847E-05,YES,YES,NO,0,0,0,1.5,0,0,0,NALL
tig00005099,3,3,178887,1.67704E-05,YES,YES,YES,0,0,0,1.5,0,0,0,NALL
tig00005486,3,3,62428,4.80554E-05,YES,YES,YES,0,0,0,1.5,0,0,0,NALL
tig00004791,15,8,366922,2.1803E-05,YES,YES,NO,0.375,0,2.75,0.225,0,0,0,2R
tig00005586,6,5,99021,5.04943E-05,YES,YES,NO,0,0,0,1.5,0,0,0,NALL
tig00009785,3,3,226972,1.32175E-05,YES,YES,YES,0,0,0,1.5,0,0,0,NALL
tig00002414,121,68,980379,6.93609E-05,YES,YES,NO,0.754761905,0.797348485,0.659943182,0.965018315,24.00466027,0,0.041666667,3R
tig00004951,14,9,189674,4.74498E-05,YES,YES,NO,0.035714286,0,2.771428571,0.035714286,0.2,0,0,2R
tig00004992,9,7,224086,3.1238E-05,YES,YES,NO,0,0,2.785714286,0,0,0,0,2R
tig00004115,8,7,133381,5.24812E-05,YES,YES,YES,0,0,2.833333333,0,0.166666667,0,0,2R
tig00008969,18,12,2019471,5.94215E-06,YES,YES,NO,0.2,1.738095238,0,1.488095238,0,0,0,NALL
tig00009650,10,10,32672,0.000306072,YES,YES,NO,0,0,2.833333333,0,0,0,0,2R
tig00003959,7,4,601935,6.64524E-06,YES,YES,YES,0,0.071428571,0.035714286,2.535714286,0,0,0,3L
tig00002642,9,7,45437,0.000154059,YES,YES,NO,0.055555556,0,0,1.486111111,0,0,0,NALL
